feature,VIF
distance,18.587476508040062
gk_distance,14.172816774552123
angle,4.68535573590421
minute,4.0501001218892645
defenders_in_5m,3.5473784073437225
n_prev_passes,3.3501965658321646
is_home,2.1381090684524433
abs_goal_diff,1.8982965858858258
goal,1.4327656041139551
angular_pressure,1.3124850807089439
goal_difference,1.16918483194456
